,publisher,topic,total_time_seconds,type,setup
26,10.0.0.11,B,1.1646747589111328,direct,four_pub_four_sub
27,10.0.0.16,B,0.7054805755615233,direct,four_pub_four_sub
28,10.0.0.21,B,0.8900165557861328,direct,four_pub_four_sub
29,10.0.0.11,C,1.0912418365478516,direct,four_pub_four_sub
30,10.0.0.16,C,0.7162094116210938,direct,four_pub_four_sub
31,10.0.0.1,B,1.3017654418945312,direct,four_pub_four_sub
32,10.0.0.21,C,1.2688636779785154,direct,four_pub_four_sub
33,10.0.0.1,C,0.7135868072509767,direct,four_pub_four_sub
34,10.0.0.11,B,1.1699199676513672,direct,four_pub_four_sub
35,10.0.0.16,B,0.5784034729003906,direct,four_pub_four_sub
36,10.0.0.21,B,1.6222000122070312,direct,four_pub_four_sub
37,10.0.0.11,C,0.9431838989257812,direct,four_pub_four_sub
38,10.0.0.16,C,1.1980533599853516,direct,four_pub_four_sub
39,10.0.0.1,B,0.8423328399658202,direct,four_pub_four_sub
40,10.0.0.21,C,0.9186267852783203,direct,four_pub_four_sub
41,10.0.0.1,C,0.9279251098632812,direct,four_pub_four_sub
42,10.0.0.11,B,1.2454986572265625,direct,four_pub_four_sub
43,10.0.0.16,B,0.5333423614501953,direct,four_pub_four_sub
44,10.0.0.21,B,0.6253719329833983,direct,four_pub_four_sub
45,10.0.0.11,C,1.004934310913086,direct,four_pub_four_sub
46,10.0.0.16,C,0.5252361297607422,direct,four_pub_four_sub
47,10.0.0.1,B,0.4665851593017578,direct,four_pub_four_sub
0,10.0.0.1,C,0.3707408905029297,direct,four_pub_four_sub
1,10.0.0.11,B,0.7801055908203125,direct,four_pub_four_sub
2,10.0.0.16,B,0.7898807525634767,direct,four_pub_four_sub
3,10.0.0.21,B,0.7395744323730469,direct,four_pub_four_sub
4,10.0.0.11,C,0.7493495941162108,direct,four_pub_four_sub
5,10.0.0.16,C,0.5705356597900392,direct,four_pub_four_sub
6,10.0.0.1,B,0.2980232238769531,direct,four_pub_four_sub
7,10.0.0.21,C,1.0221004486083984,direct,four_pub_four_sub
8,10.0.0.1,C,0.8904933929443359,direct,four_pub_four_sub
9,10.0.0.11,B,0.2982616424560547,direct,four_pub_four_sub
10,10.0.0.16,B,0.29349327087402344,direct,four_pub_four_sub
11,10.0.0.21,B,0.4544258117675781,direct,four_pub_four_sub
12,10.0.0.11,C,0.2601146697998047,direct,four_pub_four_sub
13,10.0.0.16,C,0.3979206085205078,direct,four_pub_four_sub
14,10.0.0.1,B,0.5095005035400392,direct,four_pub_four_sub
15,10.0.0.21,C,0.4489421844482422,direct,four_pub_four_sub
16,10.0.0.1,C,0.9407997131347656,direct,four_pub_four_sub
17,10.0.0.11,B,0.5674362182617188,direct,four_pub_four_sub
18,10.0.0.16,B,0.5831718444824219,direct,four_pub_four_sub
19,10.0.0.21,B,0.48065185546875,direct,four_pub_four_sub
20,10.0.0.11,C,0.9844303131103516,direct,four_pub_four_sub
21,10.0.0.16,C,1.1556148529052734,direct,four_pub_four_sub
22,10.0.0.1,B,0.8296966552734375,direct,four_pub_four_sub
23,10.0.0.21,C,1.1441707611083984,direct,four_pub_four_sub
24,10.0.0.1,C,0.8680820465087892,direct,four_pub_four_sub
25,10.0.0.11,B,1.2314319610595705,direct,four_pub_four_sub
26,10.0.0.16,B,0.8289813995361327,direct,four_pub_four_sub
27,10.0.0.21,B,1.0187625885009766,direct,four_pub_four_sub
28,10.0.0.11,C,1.208782196044922,direct,four_pub_four_sub
29,10.0.0.16,C,0.6241798400878906,direct,four_pub_four_sub
30,10.0.0.1,B,1.1756420135498047,direct,four_pub_four_sub
31,10.0.0.21,C,1.1491775512695312,direct,four_pub_four_sub
32,10.0.0.1,C,0.6487369537353517,direct,four_pub_four_sub
33,10.0.0.11,B,0.8351802825927733,direct,four_pub_four_sub
34,10.0.0.16,B,0.4742145538330078,direct,four_pub_four_sub
35,10.0.0.21,B,1.3494491577148438,direct,four_pub_four_sub
36,10.0.0.11,C,1.371145248413086,direct,four_pub_four_sub
37,10.0.0.16,C,1.1396408081054688,direct,four_pub_four_sub
38,10.0.0.1,B,0.9551048278808594,direct,four_pub_four_sub
39,10.0.0.21,C,1.0273456573486328,direct,four_pub_four_sub
40,10.0.0.1,C,1.0263919830322266,direct,four_pub_four_sub
41,10.0.0.11,B,1.371145248413086,direct,four_pub_four_sub
42,10.0.0.16,B,0.8103847503662108,direct,four_pub_four_sub
43,10.0.0.21,B,0.9160041809082033,direct,four_pub_four_sub
44,10.0.0.11,C,0.7803440093994142,direct,four_pub_four_sub
45,10.0.0.16,C,0.30040740966796875,direct,four_pub_four_sub
46,10.0.0.1,B,0.36215782165527344,direct,four_pub_four_sub
47,10.0.0.21,C,0.6079673767089844,direct,four_pub_four_sub
48,10.0.0.1,C,0.5598068237304689,direct,four_pub_four_sub
0,10.0.0.11,B,0.9539127349853516,direct,four_pub_four_sub
1,10.0.0.16,B,0.9593963623046877,direct,four_pub_four_sub
2,10.0.0.21,B,0.9047985076904297,direct,four_pub_four_sub
3,10.0.0.11,C,0.9095668792724607,direct,four_pub_four_sub
4,10.0.0.16,C,0.6914138793945312,direct,four_pub_four_sub
5,10.0.0.1,B,0.4200935363769531,direct,four_pub_four_sub
6,10.0.0.21,C,1.209259033203125,direct,four_pub_four_sub
7,10.0.0.1,C,0.6320476531982423,direct,four_pub_four_sub
8,10.0.0.11,B,0.6823539733886719,direct,four_pub_four_sub
9,10.0.0.16,B,0.6589889526367188,direct,four_pub_four_sub
10,10.0.0.21,B,1.094818115234375,direct,four_pub_four_sub
11,10.0.0.11,C,0.5791187286376952,direct,four_pub_four_sub
12,10.0.0.16,C,0.9753704071044922,direct,four_pub_four_sub
